年份,棉花产量（万吨）,长绒棉产量（万吨）
1978,5.5,1.19
1980,7.92,1.74
1985,18.78,1.4
1990,46.88,3.48
1995,93.5,1.13
1996,94.04,1.72
1997,115,3.1
1998,140,1.39
1999,140.75,1.67
2000,150,6.16
2001,157,9.71
2002,150,6.67
2003,160,10.1
2004,175.25,11.22
2005,195.7,11.87
2006,290.6,18.59
2007,319.44,25.02
2008,306.03,19.73
2009,264.34,11.04
2010,276.31,13.03
2011,349.89,12.16
2012,388.48,5.95
2013,393.56,5.35
2014,414.87,8.24
2015,419.1,40.45
2016,407.8,40.84
2017,456.6,17.39
2018,511.1,38.88
2019,500.2,25.46
2020,516.1,26.28
2021,512.85,19.13
2022,539.06,16.82
