年份,棉花播种面积（千公顷）,长绒棉播种面积（千公顷）
1978,150.42,29.05
1980,181.22,38.5
1985,253.52,26.28
1990,435.22,62.69
1995,742.9,8.35
2000,1012.39,49.29
2001,1129.72,67.69
2002,943.97,46.3
2003,1037.05,70.13
2004,1127.55,70.63
2005,1157.99,73.38
2006,1684.07,106.94
2007,1592.5,142.53
2008,1635.89,132.18
2009,1338.71,82.6
2010,1539.71,96.79
2011,1749.7,83.87
2012,1862.51,53.33
2013,1884.42,38.28
2014,2170.62,63.33
2015,2144.26,243.79
2016,2059.6,255.76
2017,2217.47,113.36
2018,2491.3,208.87
2019,2540.5,152.21
2020,2501.9,129.89
2021,2506.07,114.53
2022,2496.89,120.1
