年份,地区,棉花产量（吨）,长绒棉产量（吨）
2015,总计,4298000,404491
2016,总计,4200000,408478
2017,总计,4566000,173906
2018,总计,5110900,388827
2019,总计,5002000,254583
2020,总计,5161000,262777
2021,总计,5128500,191260
2022,总计,5390600,168219
2015,乌鲁木齐市,1166,1
2016,乌鲁木齐市,442,
2017,乌鲁木齐市,996,
2018,乌鲁木齐市,727,
2019,乌鲁木齐市,248,
2020,乌鲁木齐市,,
2021,乌鲁木齐市,59,
2022,乌鲁木齐市,1031,295
2015,乌鲁木齐市-乌鲁木齐县,,
2016,乌鲁木齐市-乌鲁木齐县,,
2017,乌鲁木齐市-乌鲁木齐县,,
2018,乌鲁木齐市-乌鲁木齐县,,
2019,乌鲁木齐市-乌鲁木齐县,,
2020,乌鲁木齐市-乌鲁木齐县,,
2021,乌鲁木齐市-乌鲁木齐县,,
2022,乌鲁木齐市-乌鲁木齐县,,
2015,克拉玛依市,10375,
2016,克拉玛依市,10526,
2017,克拉玛依市,17366,
2018,克拉玛依市,18853,
2019,克拉玛依市,17577,
2020,克拉玛依市,24736,
2021,克拉玛依市,19041,
2022,克拉玛依市,21224,
2015,吐鲁番市,32321,
2016,吐鲁番市,15906,
2017,吐鲁番市,12223,
2018,吐鲁番市,9304,
2019,吐鲁番市,7349,
2020,吐鲁番市,7838,
2021,吐鲁番市,9133,
2022,吐鲁番市,11007,442
2015,吐鲁番市-高昌区,6892,
2016,吐鲁番市-高昌区,2892,
2017,吐鲁番市-高昌区,3204,
2018,吐鲁番市-高昌区,810,
2019,吐鲁番市-高昌区,180,
2020,吐鲁番市-高昌区,113,
2021,吐鲁番市-高昌区,114,
2022,吐鲁番市-高昌区,442,442
2015,吐鲁番市-鄯善县,7159,
2016,吐鲁番市-鄯善县,3344,
2017,吐鲁番市-鄯善县,2389,
2018,吐鲁番市-鄯善县,1038,
2019,吐鲁番市-鄯善县,967,
2020,吐鲁番市-鄯善县,545,
2021,吐鲁番市-鄯善县,815,
2022,吐鲁番市-鄯善县,1188,
2015,吐鲁番市-托克逊县,18270,
2016,吐鲁番市-托克逊县,9670,
2017,吐鲁番市-托克逊县,6630,
2018,吐鲁番市-托克逊县,7456,
2019,吐鲁番市-托克逊县,6203,
2020,吐鲁番市-托克逊县,7180,
2021,吐鲁番市-托克逊县,8204,
2022,吐鲁番市-托克逊县,9377,
2015,哈密市,52123,
2016,哈密市,52904,
2017,哈密市,61452,
2018,哈密市,55685,
2019,哈密市,38766,
2020,哈密市,28396,
2021,哈密市,33446,33446
2022,哈密市,35418,217
2015,哈密市-伊州区,51879,
2016,哈密市-伊州区,52516,
2017,哈密市-伊州区,60980,
2018,哈密市-伊州区,55237,
2019,哈密市-伊州区,38405,
2020,哈密市-伊州区,27993,
2021,哈密市-伊州区,33036,33036
2022,哈密市-伊州区,34933,
2015,哈密市-巴里坤哈萨克自治县,229,
2016,哈密市-巴里坤哈萨克自治县,350,
2017,哈密市-巴里坤哈萨克自治县,441,
2018,哈密市-巴里坤哈萨克自治县,419,
2019,哈密市-巴里坤哈萨克自治县,339,
2020,哈密市-巴里坤哈萨克自治县,383,
2021,哈密市-巴里坤哈萨克自治县,385,385
2022,哈密市-巴里坤哈萨克自治县,445,217
2015,哈密市-伊吾县,15,
2016,哈密市-伊吾县,38,
2017,哈密市-伊吾县,31,
2018,哈密市-伊吾县,29,
2019,哈密市-伊吾县,22,
2020,哈密市-伊吾县,20,
2021,哈密市-伊吾县,25,25
2022,哈密市-伊吾县,40,
2015,昌吉回族自治州,149907,
